page,mbfclink,bias_rating,factual_reporting,country,media_type,trafficpopularity,credibility_rating,source,domain,leaning,press_freedom_rank
The Vaccine Reaction,https://mediabiasfactcheck.com/the-vaccine-reaction/,PSEUDOSCIENCE,LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://thevaccinereaction.org/,thevaccinereaction.org,conspiracy,
Vermont Independent,https://mediabiasfactcheck.com/vermont-independent/,RIGHT,LOW,USA (44/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://vermontindependent.net/,vermontindependent.net,conspiracy,
The Waking Times,https://mediabiasfactcheck.com/the-waking-times/,,LOW,USA,,,,https://www.wakingtimes.com,wakingtimes.com,conspiracy,
Thinking Humanity,https://mediabiasfactcheck.com/thinking-humanity/,PSEUDOSCIENCE,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://www.thinkinghumanity.com/,thinkinghumanity.com,conspiracy,
Thought Catalog,https://mediabiasfactcheck.com/thought-catalog/,PSEUDOSCIENCE,MIXED,USA,Website,High Traffic,LOW CREDIBILITY,https://thoughtcatalog.com/,thoughtcatalog.com,conspiracy,
Thought Crime Radio,https://mediabiasfactcheck.com/thought-crime-radio/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,http://thoughtcrimeradio.net,thoughtcrimeradio.net,conspiracy,
Thrive Global,https://mediabiasfactcheck.com/thrive-global/,LEFT PSEUDOSCIENCE,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://thriveglobal.com/,thriveglobal.com,conspiracy,
Thrive Movement,https://mediabiasfactcheck.com/thrive-movement/,,LOW,USA,,,,http://www.thrivemovement.com/,thrivemovement.com,conspiracy,
Treason.news,https://mediabiasfactcheck.com/treason-news/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://treason.news/,treason.news,conspiracy,MOSTLY FREE
TrialSite News,https://mediabiasfactcheck.com/trialsite-news/,PSEUDOSCIENCE,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://trialsitenews.com/,trialsitenews.com,conspiracy,
True Pundit,https://mediabiasfactcheck.com/true-pundit/,,LOW,USA,,,,https://truepundit.com/,truepundit.com,conspiracy,
TruNews,https://mediabiasfactcheck.com/trunews/,,LOW,USA,,,,https://www.trunews.com/,trunews.com,conspiracy,
Truth11.com,https://mediabiasfactcheck.com/truth11-com-bias/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://www.truth11.com/,truth11.com,conspiracy,
Twisted News,https://mediabiasfactcheck.com/twisted-news/,,VERY LOW,USA,,,,http://www.twisted.news/,twisted.news,conspiracy,
UK Column,https://mediabiasfactcheck.com/uk-column/,RIGHT CONSPIRACY,LOW,United Kingdom (35/180 Press Freedom),Newspaper,Medium Traffic,LOW CREDIBILITY,https://www.ukcolumn.org,ukcolumn.org,conspiracy,
USA Hitman,https://mediabiasfactcheck.com/usa-hitman/,,LOW,Unknown,,,,https://usahitman.com/,usahitman.com,conspiracy,
USAWatchdog.com,https://mediabiasfactcheck.com/usawatchdog-com/,RIGHT CONSPIRACY-PSEUDOSCIENCE,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://usawatchdog.com,usawatchdog.com,conspiracy,MOSTLY FREE
Vaccine Impact,https://mediabiasfactcheck.com/vaccine-impact/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://vaccineimpact.com/,vaccineimpact.com,conspiracy,
Vaccine News,https://mediabiasfactcheck.com/vaccines-news/,,VERY LOW,USA,,,,http://www.vaccines.news/,vaccines.news,conspiracy,
Vaccine Papers,https://mediabiasfactcheck.com/vaccine-papers/,PSEUDOSCIENCE,LOW,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,http://vaccinepapers.org/,vaccinepapers.org,conspiracy,
Vaccines Revealed,https://mediabiasfactcheck.com/vaccines-revealed/,CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA (44/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://vrevealed.com/,vrevealed.com,conspiracy,
Vaccine Safety Info,https://mediabiasfactcheck.com/vaccine-safety-info/,PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://vaccinesafety.info/,vaccinesafety.info,conspiracy,
VacTruth.com,https://mediabiasfactcheck.com/vactruth-com/,,LOW,Unknown,,,,https://vactruth.com/,vactruth.com,conspiracy,
Vaxxter,https://mediabiasfactcheck.com/vaxxter/,RIGHT CONSPIRACY-PSEUDOSCIENCE,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://vaxxter.com,vaxxter.com,conspiracy,
Veterans Today,https://mediabiasfactcheck.com/veterans-today/,,VERY LOW,USA,,,,https://www.veteranstoday.com/,veteranstoday.com,conspiracy,
Vigilant Citizen,https://mediabiasfactcheck.com/vigilant-citizen/,,LOW,USA,,,,https://vigilantcitizen.com/,vigilantcitizen.com,conspiracy,
VoteFraud.News,https://mediabiasfactcheck.com/votefraud-news/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://votefraud.news/,votefraud.news,conspiracy,MOSTLY FREE
Watts Up with that,https://mediabiasfactcheck.com/watts-up-with-that/,CONSPIRACY-PSEUDOSCIENCE,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://wattsupwiththat.com/,wattsupwiththat.com,conspiracy,
We are Anonymous,https://mediabiasfactcheck.com/we-are-anonymous/,CONSPIRACY-PSEUDOSCIENCE,VERY LOW,Unknown,Website,Medium Traffic,LOW CREDIBILITY,http://anonhq.com/,anonhq.com,conspiracy,
We are Change,https://mediabiasfactcheck.com/we-are-change/,,MIXED,USA,,,,https://wearechange.org/,wearechange.org,conspiracy,
Weston A. Price Foundation,https://mediabiasfactcheck.com/weston-a-price-foundation/,,LOW,USA,,,,https://www.westonaprice.org/,westonaprice.org,conspiracy,
What Really Happened,https://mediabiasfactcheck.com/what-really-happened/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA (44/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,https://www.whatreallyhappened.com/,whatreallyhappened.com,conspiracy,
WhatDoesItMean,https://mediabiasfactcheck.com/whatdoesitmean/,,LOW,Unknown,,,,http://www.whatdoesitmean.com/,whatdoesitmean.com,conspiracy,
WhiteHouse.news,https://mediabiasfactcheck.com/whitehouse-news/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.whitehouse.news/,whitehouse.news,conspiracy,MOSTLY FREE
Wikispooks,https://mediabiasfactcheck.com/wikispooks/,,MIXED,Unknown,,,,https://wikispooks.com/,wikispooks.com,conspiracy,
Winter Watch,https://mediabiasfactcheck.com/winter-watch/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.winterwatch.net/,winterwatch.net,conspiracy,MOSTLY FREE
World Affairs Brief,https://mediabiasfactcheck.com/world-affairs-brief/,,VERY LOW,USA,,,,https://www.worldaffairsbrief.com,worldaffairsbrief.com,conspiracy,
World Council for Health,https://mediabiasfactcheck.com/world-council-for-health-bias/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,United Kingdom,Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://worldcouncilforhealth.org/,worldcouncilforhealth.org,conspiracy,MOSTLY FREE
World Doctors Alliance,https://mediabiasfactcheck.com/world-doctors-alliance/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,Unknown,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://worlddoctorsalliance.com/,worlddoctorsalliance.com,conspiracy,
WorldHealth.net,https://mediabiasfactcheck.com/worldhealth-net/,PSEUDOSCIENCE,LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://www.worldhealth.net/,worldhealth.net,conspiracy,
World Lifestyle,https://mediabiasfactcheck.com/world-lifestyle-bias/,CONSPIRACY-PSEUDOSCIENCE,LOW,USA,Website,High Traffic,LOW CREDIBILITY,https://www.worldlifestyle.com/,worldlifestyle.com,conspiracy,MOSTLY FREE
World Truth TV,https://mediabiasfactcheck.com/world-truth-tv/,,VERY LOW,USA,,,,http://worldtruth.tv/,worldtruth.tv,conspiracy,
Worldview Weekend,https://mediabiasfactcheck.com/worldview-weekend-bias/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.worldviewweekend.com/,worldviewweekend.com,conspiracy,MOSTLY FREE
X22 Report,https://mediabiasfactcheck.com/x22-report/,FAR,LOW,USA (44/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,https://x22report.com,x22report.com,conspiracy,
Your News Wire,https://mediabiasfactcheck.com/your-news-wire/,,LOW,USA,,,,http://yournewswire.com/,yournewswire.com,conspiracy,
Zerohedge,https://mediabiasfactcheck.com/zero-hedge/,RIGHT CONSPIRACY/PSEUDOSCIENCE,LOW,Bulgaria,Website,High Traffic,LOW CREDIBILITY,https://www.zerohedge.com/,zerohedge.com,conspiracy,
2nd Amendment Daily News,https://mediabiasfactcheck.com/2nd-amendment-daily-news/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.secondamendmentdaily.com/,secondamendmentdaily.com,fake-news,
4Chan.org,https://mediabiasfactcheck.com/4chan-bias/,EXTREME-RIGHT,VERY LOW,USA,Website,High Traffic,LOW CREDIBILITY,http://4chan.org,4chan.org,fake-news,
100% Fed up,https://mediabiasfactcheck.com/100-percent-fed-up/,EXTREME RIGHT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://100percentfedup.com/,100percentfedup.com,fake-news,
12minutos.com,https://mediabiasfactcheck.com/12minutos-com/,NOT RATED,LOW,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,http://www.12minutos.com/,12minutos.com,fake-news,
24Jours.com,https://mediabiasfactcheck.com/24jours-com/,RIGHT-CENTER,LOW,Cameroon,Website,Minimal Traffic,LOW CREDIBILITY,https://www.24jours.com/,24jours.com,fake-news,
24 News,https://mediabiasfactcheck.com/24-news/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,http://us24news.com,us24news.com,fake-news,
2020 Conservative,https://mediabiasfactcheck.com/2020-conservative-bias/,EXTREME-RIGHT,VERY LOW,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://2020conservative.com/,2020conservative.com,fake-news,
A Voice for Men,https://mediabiasfactcheck.com/a-voice-for-men/,RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.avoiceformen.com/,avoiceformen.com,fake-news,
Acting Man,https://mediabiasfactcheck.com/acting-man/,RIGHT,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://acting-man.com/,acting-man.com,fake-news,
Action News 3,https://mediabiasfactcheck.com/action-news-3/,NOT RATED,VERY LOW,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,http://actionnews3.com,actionnews3.com,fake-news,
Activist Mommy,https://mediabiasfactcheck.com/activist-mommy/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://elizabethjohnston.org/,elizabethjohnston.org,fake-news,
Ada Reporter,https://mediabiasfactcheck.com/ada-reporter/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://adareporter.com/,adareporter.com,fake-news,
Adams County Times,https://mediabiasfactcheck.com/adams-county-times/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://adamscountytimes.com/,adamscountytimes.com,fake-news,
Al Arabiya,https://mediabiasfactcheck.com/al-arabiya/,RIGHT-CENTER,MIXED,Saudi Arabia,TV Station,High Traffic,LOW CREDIBILITY,https://english.alarabiya.net/,alarabiya.net,fake-news,TOTAL OPPRESSION
Albany Standard,https://mediabiasfactcheck.com/albany-standard/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://albanystandard.com/,albanystandard.com,fake-news,
Al Bawaba,https://mediabiasfactcheck.com/al-bawaba/,RIGHT-CENTER,MIXED,Jordan,Website,Medium Traffic,LOW CREDIBILITY,https://www.albawaba.com/,albawaba.com,fake-news,LIMITED FREEDOM
All News Pipeline,https://mediabiasfactcheck.com/all-news-pipeline/,RIGHT-CENTER,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://allnewspipeline.com/,allnewspipeline.com,fake-news,
Alliance Defending Freedom,https://mediabiasfactcheck.com/alliance-defending-freedom/,EXTREME RIGHT,LOW,USA,Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://www.adflegal.org/,adflegal.org,fake-news,
Al Manar,https://mediabiasfactcheck.com/al-manar/,RIGHT-CENTER,MIXED,Lebanon,TV Station,Medium Traffic,LOW CREDIBILITY,https://english.almanar.com.lb,almanar.com.lb,fake-news,
Al- Masdar News,https://mediabiasfactcheck.com/al-masdar-news-amn/,RIGHT,MIXED,Lebanon,Website,Minimal Traffic,LOW CREDIBILITY,https://www.almasdarnews.com,almasdarnews.com,fake-news,
Aloha State News,https://mediabiasfactcheck.com/aloha-state-news/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://alohastatenews.com/,alohastatenews.com,fake-news,
Alpha News,https://mediabiasfactcheck.com/alpha-news/,FAR RIGHT,LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://alphanews.org/,alphanews.org,fake-news,
Alt-Right TV,https://mediabiasfactcheck.com/alt-right-tv/,EXTREME RIGHT,LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://altrighttv.com/,altrighttv.com,fake-news,
Al Youm Al Sabea,https://mediabiasfactcheck.com/al-youm-al-sabea-youm7-bias/,RIGHT-CENTER,MIXED,Egypt,Newspaper,High Traffic,LOW CREDIBILITY,https://www.youm7.com/,youm7.com,fake-news,
America Max News,https://mediabiasfactcheck.com/america-max-news/,RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.americamaxnews.com/,americamaxnews.com,fake-news,MOSTLY FREE
America Out Loud,https://mediabiasfactcheck.com/america-out-loud/,FAR RIGHT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://americaoutloud.com/,americaoutloud.com,fake-news,MOSTLY FREE
American Action News,https://mediabiasfactcheck.com/american-action-news/,RIGHT,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://americanactionnews.com/,americanactionnews.com,fake-news,
American College of Pediatricians,https://mediabiasfactcheck.com/american-college-of-pediatricians/,FAR-RIGHT,LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://www.acpeds.org/,acpeds.org,fake-news,
American Conservative Movement,https://mediabiasfactcheck.com/american-conservative-movement-acm/,FAR RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://americanconservativemovement.com/,americanconservativemovement.com,fake-news,
American Family Association,https://mediabiasfactcheck.com/american-family-association/,EXTREME RIGHT,LOW,USA,Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://www.afa.net/,afa.net,fake-news,
American Family News,https://mediabiasfactcheck.com/onenewsnow/,FAR RIGHT,LOW,USA (44/180 Press Freedom),Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://afn.net/,afn.net,fake-news,
American Freedom Fighters,https://mediabiasfactcheck.com/american-freedom-fighters/,EXTREME RIGHT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://americasfreedomfighters.com,americasfreedomfighters.com,fake-news,
American Gulag,https://mediabiasfactcheck.com/american-gulag/,EXTREME-RIGHT,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://americangulag.org/,americangulag.org,fake-news,
American Herald Tribune,https://mediabiasfactcheck.com/american-herald-tribune/,,MIXED,Unknown,,,,https://ahtribune.com/,ahtribune.com,fake-news,
American Liberty Report,https://mediabiasfactcheck.com/american-liberty-report/,FAR RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.americanlibertyemail.com/,americanlibertyemail.com,fake-news,
American Lookout,https://mediabiasfactcheck.com/american-lookout/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://americanlookout.com/,americanlookout.com,fake-news,
American Partisan,https://mediabiasfactcheck.com/american-partisan-bias/,FAR RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,americanpartisan.org,americanpartisan.org,fake-news,MOSTLY FREE
American Patriot Daily,https://mediabiasfactcheck.com/american-patriot-daily/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.americanpatriotdaily.com/,americanpatriotdaily.com,fake-news,
American People Daily,https://mediabiasfactcheck.com/american-people-daily/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://americanpeopledaily.com/,americanpeopledaily.com,fake-news,MOSTLY FREE
American Principles Project,https://mediabiasfactcheck.com/american-principles-project/,EXTREME RIGHT,LOW,USA,Organization/Foundations,Minimal Traffic,LOW CREDIBILITY,https://americanprinciplesproject.org/,americanprinciplesproject.org,fake-news,
American Renaissance Magazine,https://mediabiasfactcheck.com/american-renaissance-magazine/,EXTREME RIGHT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://www.amren.com,amren.com,fake-news,
"American Society for the Defense of Tradition, Family, and Property",https://mediabiasfactcheck.com/american-society-defense-tradition-family-property/,EXTREME RIGHT,LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://www.tfp.org/,tfp.org,fake-news,
American Thinker,https://mediabiasfactcheck.com/american-thinker/,EXTREME RIGHT,LOW,USA,Website,High Traffic,LOW CREDIBILITY,https://www.americanthinker.com,americanthinker.com,fake-news,
American Web Media,https://mediabiasfactcheck.com/american-web-media-awm/,RIGHT,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://awm.com,awm.com,fake-news,
Americans Are Pissed,https://mediabiasfactcheck.com/americans-are-pissed/,,LOW,,,,,https://www.americansarepissed.com/,americansarepissed.com,fake-news,
Americans for Truth,https://mediabiasfactcheck.com/americans-for-truth-aftah/,EXTREME RIGHT,VERY LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://americansfortruth.com,americansfortruth.com,fake-news,
America’s News Source,https://mediabiasfactcheck.com/americas-news-source/,RIGHT,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://americasnewssource.com/,americasnewssource.com,fake-news,
Ames Today,https://mediabiasfactcheck.com/ames-today-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://amestoday.com/,amestoday.com,fake-news,
Analyzing America,https://mediabiasfactcheck.com/analyzing-america/,EXTREME RIGHT,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://www.analyzingamerica.org/,analyzingamerica.org,fake-news,
Anderson Reporter,https://mediabiasfactcheck.com/anderson-reporter/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://andersonreporter.com/,andersonreporter.com,fake-news,
Ann Arbor Times,https://mediabiasfactcheck.com/ann-arbor-times-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://annarbortimes.com/,annarbortimes.com,fake-news,
Anne Arundel Today,https://mediabiasfactcheck.com/anne-arundel-today-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://annearundeltoday.com/,annearundeltoday.com,fake-news,
Antelope Valley Today,https://mediabiasfactcheck.com/antelope-valley-today/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://antelopevalleytoday.com/,antelopevalleytoday.com,fake-news,
Arab News,https://mediabiasfactcheck.com/arab-news/,RIGHT-CENTER,MIXED,Saudi Arabia,Newspaper,High Traffic,LOW CREDIBILITY,https://www.arabnews.com/,arabnews.com,fake-news,
Archaeology World,https://mediabiasfactcheck.com/archaeology-world/,,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://www.archaeology-world.com/,archaeology-world.com,fake-news,
Aroostook News,https://mediabiasfactcheck.com/aroostook-news-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://aroostooknews.com/,aroostooknews.com,fake-news,
Association of American Physicians and Surgeons,https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps/,EXTREME RIGHT,LOW,USA,Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://aapsonline.org/,aapsonline.org,fake-news,
Athens Reporter,https://mediabiasfactcheck.com/athens-reporter/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://athensreporter.com/,athensreporter.com,fake-news,
ATL Standard,https://mediabiasfactcheck.com/atl-standard/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://atlstandard.com/,atlstandard.com,fake-news,
Auburn Times,https://mediabiasfactcheck.com/auburn-times/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://auburntimes.com/,auburntimes.com,fake-news,
Baldwin Times,https://mediabiasfactcheck.com/baldwin-times/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://baldwintimes.com/,baldwintimes.com,fake-news,
